          epoch,           loss,       accuracy
              1,       0.065904,        0.92628
              2,       0.052056,        0.94263
              3,       0.048383,        0.94517
              4,       0.045967,        0.94821
              5,       0.043923,        0.94942
              6,       0.040346,        0.95367
              7,       0.039029,        0.95522
              8,       0.037729,         0.9568
              9,        0.03529,        0.95877
             10,       0.034054,        0.95948
             11,        0.03367,         0.9603
             12,       0.032022,        0.96168
             13,       0.031483,        0.96283
