          epoch,           loss,       accuracy
              1,       0.033515,         0.9612
              2,       0.027553,        0.96892
              3,       0.025747,        0.97097
              4,        0.02441,        0.97249
              5,       0.023052,        0.97391
              6,       0.021186,        0.97535
              7,       0.020313,        0.97647
              8,       0.019736,        0.97675
              9,        0.01828,        0.97862
             10,       0.017957,        0.97835
             11,        0.01733,        0.97914
             12,       0.016781,         0.9797
             13,        0.01653,        0.97995
