          epoch,           loss,       accuracy
              1,       0.030062,         0.9478
              2,       0.021044,        0.96588
              3,       0.018822,        0.96962
              4,       0.017291,        0.97197
              5,       0.016066,         0.9739
              6,       0.013902,        0.97682
              7,       0.013103,        0.97805
              8,       0.012432,         0.9795
              9,       0.011207,        0.98095
             10,       0.010741,        0.98181
             11,       0.010503,        0.98227
             12,      0.0099318,        0.98335
             13,      0.0097347,        0.98335
