          epoch,           loss,       accuracy
              1,       0.059147,         0.8001
              2,       0.045036,        0.84369
              3,       0.042199,        0.85247
              4,       0.040484,        0.85843
              5,       0.039092,        0.86314
              6,       0.037171,        0.86799
              7,       0.036449,         0.8695
              8,        0.03578,        0.87278
              9,       0.034648,        0.87651
             10,       0.034383,        0.87722
             11,       0.033944,        0.87897
             12,       0.033418,        0.88101
             13,        0.03327,        0.88174
