          epoch,           loss,       accuracy
              1,       0.076505,        0.75176
              2,       0.059584,        0.80467
              3,       0.056639,          0.813
              4,       0.054744,        0.81689
              5,       0.053244,        0.82095
              6,       0.050671,        0.82921
              7,       0.050177,        0.83084
              8,       0.049442,        0.83271
              9,       0.048115,          0.836
             10,       0.047505,        0.83746
             11,       0.047339,        0.83852
             12,       0.046563,        0.84048
             13,       0.046448,        0.84189
